id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage
uniswap,uni,Uniswap,5.84,3531412141,37,238056092.0,6.23,5.76,-0.050337629525989414,-0.85411,600483073.71,1000000000.0,1000000000.0,44.92,-86.90697
susds,susds,sUSDS,1.042,3418091658,38,2272344.0,1.046,1.039,-0.001339071247694168,-0.12832,3279446127.078502,3279446127.078502,,1.088,-4.14743
dai,dai,Dai,0.999671,3201145141,39,122886680.0,1.001,0.999081,2.287e-05,0.00229,3202775817.058345,3202775817.058345,,1.22,-18.00264
aptos,apt,Aptos,5.11,3043102582,40,241701078.0,5.64,5.09,-0.2645201276182707,-4.91725,590572846.1747226,1143897245.214778,,19.92,-74.22821
near,near,NEAR Protocol,2.4,2870858335,41,232498174.0,2.55,2.35,-0.03004599806659103,-1.23838,1190191932.0,1239515660.0,,20.44,-88.20939
pepe,pepe,Pepe,6.26e-06,2660510710,42,965690740.0,6.52e-06,5.67e-06,2.91686e-07,4.89097,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-77.51615
ondo-finance,ondo,Ondo,0.822696,2644537392,43,213728585.0,0.868922,0.782988,0.01151087,1.41902,3159107529.0,10000000000.0,10000000000.0,2.14,-61.05767
ethereum-classic,etc,Ethereum Classic,17.45,2638613478,44,106820997.0,18.12,17.16,0.183026,1.06021,151083085.3013964,151083085.3013964,210700000.0,167.09,-89.5359
aave,aave,Aave,171.32,2602333066,45,523979223.0,185.3,168.84,-9.982517426302849,-5.50614,15088246.400514996,16000000.0,16000000.0,661.69,-73.95689
internet-computer,icp,Internet Computer,5.3,2567320796,46,87233487.0,5.52,5.16,0.058989,1.12609,481416170.2867592,530292119.0446234,,700.65,-99.2397
okb,okb,OKB,40.98,2462547032,47,21465959.0,41.96,39.82,-0.030023847526287284,-0.0732,60000000.0,235957685.3,300000000.0,73.8,-44.40021
gatechain-token,gt,Gate,19.65,2422471081,48,34111924.0,20.17,19.05,0.054137,0.27628,122910587.76765741,300000000.0,,25.94,-24.03401
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,81588.0,2421279556,49,362383987.0,83652.0,79233.0,1247.27,1.55249,29562.86722011,29562.86722011,,108953.0,-25.04574
mantle,mnt,Mantle,0.708188,2383097959,50,83695861.0,0.721556,0.679882,0.01876732,2.72219,3364694382.83684,6219316794.99,6219316794.99,1.54,-54.00413
bittensor,tao,Bittensor,260.98,2228651127,51,211615028.0,270.0,231.45,25.4,10.78363,8462571.0,21000000.0,21000000.0,757.6,-65.26126
crypto-com-chain,cro,Cronos,0.078641,2167559878,52,34829839.0,0.082621,0.07742,-0.003723980338013397,-4.52134,27372265829.84708,30000000000.0,,0.965407,-91.80263
tokenize-xchange,tkx,Tokenize Xchange,27.0,2161109435,53,13532828.0,27.23,26.39,0.386738,1.45314,79995999.05112354,100000000.0,100000000.0,50.43,-46.43746
first-digital-usd,fdusd,First Digital USD,0.995742,2083729475,54,7521242377.0,1.008,0.988316,-0.005495833578535891,-0.5489,2087717049.930472,2087717049.930472,,1.15,-13.34623
official-trump,trump,Official Trump,10.16,2049828187,55,748736732.0,10.86,10.01,-0.3975910646138132,-3.76577,199999977.236,1000000000.0,1000000000.0,73.43,-86.09507
vechain,vet,VeChain,0.02328689,2019141671,56,70122422.0,0.02450997,0.02245063,2.753e-05,0.11835,85985041177.0,85985041177.0,86712634466.0,0.280991,-91.64235
ethena,ena,Ethena,0.368268,1950283491,57,315174243.0,0.416726,0.367387,-0.04177415770691206,-10.18777,5285937500.0,15000000000.0,,1.52,-75.75757
polygon-ecosystem-token,pol,POL (ex-MATIC),0.210869,1821841707,58,88722850.0,0.217722,0.203781,0.00057424,0.27306,8593061307.797176,10376023854.8978,,1.29,-83.57382
filecoin,fil,Filecoin,2.71,1750195994,59,162684329.0,2.8,2.59,-0.006294866505634378,-0.23208,643244607.0,1959610475.0,1959610475.0,236.84,-98.85262
celestia,tia,Celestia,3.23,1748755132,60,139272873.0,3.31,2.85,0.368811,12.90707,537233712.821426,1104499726.027065,,20.85,-84.39936
kaspa,kas,Kaspa,0.066963,1736733077,61,188852628.0,0.074601,0.057999,0.00858847,14.71277,25826487850.01926,25844276538.76189,28704026601.0,0.207411,-67.62795
fasttoken,ftn,Fasttoken,3.99,1715025749,62,50717716.0,4.03,3.96,-0.001688717588360422,-0.04233,429525337.0,870742437.0,1000000000.0,4.07,-2.08515
cosmos,atom,Cosmos Hub,3.79,1677262896,63,144819136.0,3.98,3.58,0.183175,5.07654,439944727.258196,439944727.258196,,44.45,-91.4232
algorand,algo,Algorand,0.187572,1608680666,64,95322808.0,0.199008,0.185267,-0.005452887298646569,-2.82497,8485256162.495728,8485334286.153647,10000000000.0,3.56,-94.67856
render-token,render,Render,2.89,1506843776,65,199447427.0,3.05,2.72,0.03378292,1.18359,517716590.0562826,532476763.3362826,,13.53,-78.49484
arbitrum,arb,Arbitrum,0.331393,1470881395,66,239534903.0,0.346055,0.318519,0.00074264,0.2246,4419312625.0,10000000000.0,10000000000.0,2.39,-86.07563
arbitrum-bridged-usdt-arbitrum,usdt,Arbitrum Bridged USDT (Arbitrum),0.999501,1437716458,67,118685657.0,1.009,0.991692,-0.000238368022808078,-0.02384,1440460731.062262,1440460731.062262,,1.16,-13.83033
story-2,ip,Story,5.46,1368122355,68,121032020.0,5.58,5.07,0.00356018,0.06526,250471875.75,1000471682.11,,7.31,-25.20062
jupiter-exchange-solana,jup,Jupiter,0.503114,1358889973,69,70614785.0,0.524314,0.488093,0.00488268,0.98,2690911111.1,6999978412.092618,10000000000.0,2.0,-74.80257
kucoin-shares,kcs,KuCoin,10.91,1338412871,70,71114.0,11.2,10.78,-0.20227805178115688,-1.82102,122561753.8513356,142561753.8513356,,28.83,-62.20382
optimism,op,Optimism,0.819187,1334764125,71,181715047.0,0.877673,0.809931,-0.007638842854388206,-0.92388,1620705846.0,4294967296.0,4294967296.0,4.84,-82.9944
sonic-3,s,Sonic (prev. FTM),0.418676,1332149579,72,129939266.0,0.448642,0.411627,-0.012144802870365956,-2.81899,3175000000.0,3175000000.0,,1.029,-59.34624
solv-btc,solvbtc,Solv Protocol SolvBTC,81414.0,1287434983,73,4814993.0,83513.0,79316.0,1041.53,1.29589,15767.62334905728,15769.82785536728,21000000.0,108929.0,-25.02699
fetch-ai,fet,Artificial Superintelligence Alliance,0.466949,1224635363,74,235756101.0,0.49514,0.453621,0.00841649,1.83553,2604959126.672,2714493896.672,2714493896.672,3.45,-86.39282
movement,move,Movement,0.481393,1164941016,75,144531461.0,0.528939,0.478823,-0.018297295657117407,-3.66173,2400000000.0,10000000000.0,10000000000.0,1.45,-66.59669
binance-peg-weth,weth,Binance-Peg WETH,1871.69,1135798087,76,49955875.0,1954.33,1850.86,-29.5477445630313,-1.55413,604999.999959841,604999.999959841,,4098.26,-54.31705
quant-network,qnt,Quant,74.21,1084243669,77,35677723.0,77.36,70.69,1.61,2.21934,14544176.164091088,14612493.0,14612493.0,427.42,-82.56292
xdce-crowd-sale,xdc,XDC Network,0.068086,1074166558,78,37404607.0,0.070331,0.065356,0.00223579,3.39525,15694269714.3,37977804456.15,,0.192754,-64.49466
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,1939.83,1064683346,79,2356753.0,2029.4,1919.51,-27.238431830767695,-1.38473,546209.2006086417,546209.2006086417,,4216.2,-53.83684
nexo,nexo,NEXO,1.019,1019904611,80,14833971.0,1.045,0.998429,0.01477071,1.4709,1000000000.0,1000000000.0,1000000000.0,4.07,-74.91667
dexe,dexe,DeXe,17.34,991403565,81,14212955.0,17.67,17.26,-0.03144396407543937,-0.18098,57103774.56313077,96504599.33609451,,32.38,-46.42964
usual-usd,usd0,Usual USD,0.997613,980559026,82,17816982.0,0.998055,0.997357,2.579e-05,0.00259,982684886.0662843,982684886.0662843,,1.33,-24.74614
maker,mkr,Maker,1090.2,933206888,83,97916410.0,1173.37,1074.29,-38.903808626640966,-3.44556,852068.9717752883,878313.5190819337,1005577.0,6292.31,-82.59421
rocket-pool-eth,reth,Rocket Pool ETH,2100.2,932714995,84,22755196.0,2199.53,2076.88,-27.665711815485338,-1.30016,442537.077459065,442537.077459065,,4814.31,-56.24035
flare-networks,flr,Flare,0.01543509,928348519,85,13278463.0,0.01571767,0.01450462,0.00089938,6.18738,60963544653.60519,103127502404.0353,,0.150073,-89.83329
blockstack,stx,Stacks,0.597929,913838616,86,34938736.0,0.627834,0.580076,-0.002449817183984182,-0.40805,1516557200.76344,1516557200.76344,1818000000.0,3.86,-84.40715
immutable-x,imx,Immutable,0.503789,898228844,87,38375951.0,0.533377,0.490646,0.00637092,1.2808,1768317543.3898141,2000000000.0,2000000000.0,9.52,-94.67246
injective-protocol,inj,Injective,9.01,884223594,88,140511304.0,9.54,8.76,-0.2720381088800998,-2.93019,97727220.33,100000000.0,,52.62,-82.81807
sei-network,sei,Sei,0.185373,874656282,89,94214013.0,0.197606,0.183456,-0.001653966111014177,-0.88435,4657499999.0,10000000000.0,,1.14,-83.55079
worldcoin-wld,wld,Worldcoin,0.782931,867339205,90,187288608.0,0.827229,0.77051,-0.016732435086570407,-2.09243,1099656619.273056,10000000000.0,10000000000.0,11.74,-93.29567
theta-token,theta,Theta Network,0.847817,850884165,91,29876446.0,0.876438,0.811493,0.02148476,2.60001,1000000000.0,1000000000.0,1000000000.0,15.72,-94.58152
the-graph,grt,The Graph,0.087696,847334247,92,43157488.0,0.092988,0.086063,0.00031832,0.36431,9548531509.16547,10788004319.0,10788004319.0,2.84,-96.88264
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),1.0,846244144,93,18231181.0,1.007,0.990774,0.0012749,0.12761,847445705.696528,847445705.696528,,1.027,-2.68754
solv-protocol-solvbtc-bbn,solvbtc.bbn,Solv Protocol SolvBTC.BBN,81103.0,822878985,94,1398154.0,82534.0,79009.0,1126.23,1.4082,10005.18652543828,10005.18652543828,21000000.0,117077.0,-30.24294
binance-staked-sol,bnsol,Binance Staked SOL,126.37,820744585,95,3704445.0,132.74,123.61,-1.9581370436571035,-1.5259,6467009.475084672,6467009.475084672,,297.96,-57.49475
lido-dao,ldo,Lido DAO,0.893519,808225597,96,187795461.0,0.970207,0.850588,0.00609074,0.68634,897602695.87191,1000000000.0,1000000000.0,7.3,-87.70119
bonk,bonk,Bonk,1.022e-05,796135550,97,94559659.0,1.077e-05,9.71e-06,2.94514e-07,2.96676,77419592329436.58,88857173109867.61,88857173109867.61,5.825e-05,-82.38344
mantle-staked-ether,meth,Mantle Staked Ether,1977.87,750538033,98,11806269.0,2071.4,1967.16,-35.32800214616418,-1.75482,376095.6796336566,376095.6796336566,,4729.53,-58.01345
eos,eos,EOS,0.476601,725324997,99,98816901.0,0.498706,0.462053,0.00525673,1.11526,1516885789.1746,2100000000.0,2100000000.0,22.71,-97.89234
tether-gold,xaut,Tether Gold,2907.45,716376264,100,13568989.0,2912.6,2884.88,19.28,0.66745,246524.33,246524.33,,2958.51,-1.77798
paypal-usd,pyusd,PayPal USD,0.999162,706308188,101,415150271.0,1.001,0.998414,-0.000347010035397055,-0.03472,706384143.088414,706384143.088414,,1.021,-2.04218
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),1.001,698075631,102,72318207.0,1.007,0.991624,2.073e-05,0.00207,698999999.839804,698999999.839804,,1.031,-3.07428
tezos,xtz,Tezos,0.665362,689053147,103,29694308.0,0.689011,0.650812,0.01217439,1.86384,1034133608.648712,1054386233.359116,,9.12,-92.67914
stargate-bridged-usdc-berachain,usdc.e,Stargate Bridged USDC (Berachain),0.997628,688668623,104,4478770.0,1.022,0.992369,-0.002754601393353484,-0.27535,687988345.916486,687988345.916486,,1.031,-3.17778
gala,gala,GALA,0.015479,678968770,105,84393415.0,0.01633001,0.01487647,7.774e-05,0.50477,43473161524.4762,43473161628.20142,50000000000.0,0.824837,-98.10802
bittorrent,btt,BitTorrent,6.83881e-07,675404429,106,28029933.0,6.97328e-07,6.74267e-07,-1.934367696e-09,-0.28205,986061142857000.0,990000000000000.0,990000000000000.0,3.43e-06,-80.06246
wbnb,wbnb,Wrapped BNB,551.56,668353044,107,273835443.0,564.33,539.8,9.66,1.78262,1211196.916505836,1211196.916505836,,789.32,-30.09041
the-sandbox,sand,The Sandbox,0.27081,666797239,108,83784578.0,0.28381,0.263756,0.00268251,1.00046,2445857126.2233224,3000000000.0,3000000000.0,8.4,-96.75333
arbitrum-bridged-wbtc-arbitrum-one,wbtc,Arbitrum Bridged WBTC (Arbitrum One),81375.0,661865527,109,166086066.0,83232.0,78957.0,1317.57,1.64578,8109.19095531,8109.19095531,,108397.0,-24.78766
jito-governance-token,jto,Jito,2.08,633869326,110,44438003.0,2.21,2.05,-0.05313923941693055,-2.49428,303728042.9,1000000000.0,,6.01,-65.38054
iota,iota,IOTA,0.171187,631347869,111,30233102.0,0.180624,0.168112,-0.00430560133539909,-2.45344,3669672848.0,4600000000.0,,5.25,-96.71771
bitcoin-cash-sv,bsv,Bitcoin SV,31.62,628563733,112,37262760.0,32.45,30.58,0.23578,0.75136,19836446.875,19836446.875,21000000.0,489.75,-93.53352
berachain-bera,bera,Berachain,5.78,627891466,113,99221925.0,6.06,5.65,0.04663733,0.81338,107989297.5953384,500509297.5953384,,14.83,-60.86763
usdx-money-usdx,usdx,Stables Labs USDX,0.999663,625652868,114,294861.0,1.003,0.996612,-0.00102295156208243,-0.10223,625402038.9821869,625402038.9821869,,1.057,-5.43748
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,624619333,115,0.0,1.0,1.0,0.0,0.0,624619332.54,624619332.54,,1.0,0.0
jasmycoin,jasmy,JasmyCoin,0.01274831,621859098,116,64658544.0,0.01340445,0.012041,5.45e-06,0.04275,48419999999.3058,50000000000.0,50000000000.0,4.79,-99.73219
kaia,kaia,Kaia,0.104917,614871739,117,17258823.0,0.107413,0.09981,0.00284196,2.7842,5856641747.106198,5856641936.044253,,0.406698,-74.24647
pax-gold,paxg,PAX Gold,2922.85,614865208,118,27686872.0,2926.24,2898.06,20.91,0.72066,210371.22,210371.22,,3000.76,-2.59939
flow,flow,Flow,0.384422,605983818,119,33157736.0,0.397295,0.372729,0.0033623,0.88236,1568120578.779074,1568120578.779074,,42.4,-99.09018
renzo-restaked-eth,ezeth,Renzo Restaked ETH,1942.97,595842590,120,3155685.0,2034.98,1919.47,-27.24097698779474,-1.38264,305671.8774170854,305671.8774170854,,4207.05,-53.69116
msol,msol,Marinade Staked SOL,155.13,588434348,121,103626825.0,163.4,151.7,-2.020010980361178,-1.28537,3772030.0,3772030.0,3772030.0,363.77,-57.1554
floki,floki,FLOKI,5.977e-05,581289671,122,136415495.0,6.294e-05,5.8e-05,1.35e-06,2.30522,9665245131456.0,10000000000000.0,10000000000000.0,0.00034495,-82.56488
resolv-usr,usr,Resolv USR,0.999813,545725542,123,5281340.0,1.0,0.99871,0.00095397,0.09551,545838605.7562054,545838605.7562054,,1.022,-2.1564
ethereum-name-service,ens,Ethereum Name Service,16.1,537682391,124,51297030.0,17.28,15.98,-0.5215803716469196,-3.13861,33165585.054507963,100000000.0,100000000.0,83.4,-80.59234
neo,neo,NEO,7.55,534192757,125,31607751.0,7.93,7.43,0.02920282,0.38852,70530000.0,100000000.0,,198.38,-96.17496
honey-3,honey,Honey,0.998933,526833900,126,24230680.0,1.002,0.996694,-0.003020435689938927,-0.30145,527136574.5849083,527136574.5849083,,1.11,-9.93298
curve-dao-token,crv,Curve DAO,0.404842,525141726,127,131423814.0,0.414518,0.377528,0.01836611,4.7522,1295667264.0,2236191094.148037,3303030299.0,15.37,-97.36328
telcoin,tel,Telcoin,0.00549035,510621512,128,6487076.0,0.00604515,0.00522404,9.162e-05,1.69711,91899666665.01,100000000000.0,100000000000.0,0.064483,-91.36974
elrond-erd-2,egld,MultiversX,17.74,499062388,129,29452028.0,18.54,17.3,0.137918,0.78337,28013413.0,28013413.0,31415926.0,545.64,-96.73481
beldex,bdx,Beldex,0.07181,497766143,130,2984076.0,0.072571,0.070947,-8.9011350430102e-05,-0.1238,6914245728.82509,9932265473.11781,,0.450785,-84.03598
jupiter-staked-sol,jupsol,Jupiter Staked SOL,133.33,497624082,131,14269772.0,139.74,130.56,-1.3415316336757996,-0.99617,3727925.772421355,3727925.772421355,,309.67,-57.02546
true-usd,tusd,TrueUSD,0.997557,494777161,132,42218778.0,1.0,0.99346,-8.994525854233e-06,-0.0009,495516083.0,495516083.0,,1.62,-38.30744
pyth-network,pyth,Pyth Network,0.135446,493842520,133,42517486.0,0.145504,0.134384,-0.006786070103483061,-4.77111,3624988786.43857,10000000000.0,10000000000.0,1.2,-88.63918
axie-infinity,axs,Axie Infinity,3.06,489300497,134,34337370.0,3.13,2.9,0.103937,3.51062,159365165.6795585,270000000.0,270000000.0,164.9,-98.14111
decentraland,mana,Decentraland,0.257731,484449163,135,57760832.0,0.266638,0.248389,0.00715016,2.85344,1867996694.4769301,2193179327.320146,2193179327.320146,5.85,-95.56079
helium,hnt,Helium,2.65,478618095,136,15992741.0,2.95,2.5,0.130065,5.15444,179336836.2761248,223000000.0,223000000.0,54.88,-95.13973
ronin,ron,Ronin,0.776408,477036882,137,22340377.0,0.776106,0.698618,0.056071,7.78406,619389698.9641546,1000000000.0,1000000000.0,4.45,-82.68786
pumpbtc,pumpbtc,pumpBTC,81087.0,471173161,138,952.34,83201.0,77049.0,3425.87,4.41129,5789.86031044,5789.86031044,,107240.0,-24.27274
zcash,zec,Zcash,29.0,465276842,139,34296816.0,31.19,28.58,-0.8844915630269803,-2.96017,15943803.2905448,15944412.6655448,21000000.0,3191.93,-99.09181
kava,kava,Kava,0.419631,460214353,140,14909863.0,0.441158,0.409991,0.00029889,0.07128,1082853486.0,1082853486.0,,9.12,-95.33815
bridged-usdc-polygon-pos-bridge,usdc.e,Bridged USDC (Polygon PoS Bridge),0.999759,457295519,141,22479663.0,1.0,0.999692,-0.00012780023618586,-0.01278,457391303.632574,457391303.632574,,1.028,-2.71925
dydx-chain,dydx,dYdX,0.576323,442294631,142,28397251.0,0.603574,0.540114,0.02652243,4.82401,761076047.6751636,761076047.6751636,1000000000.0,4.52,-87.16596
raydium,ray,Raydium,1.5,438873389,143,74022599.0,1.6,1.47,-0.09036270877074593,-5.67493,290847965.959333,555000000.0,555000000.0,16.83,-91.04947
l2-standard-bridged-weth-base,weth,L2 Standard Bridged WETH (Base),1871.29,438868993,144,582839974.0,1960.87,1850.64,-25.96890654627896,-1.36876,233923.5678065345,233923.5678065345,,4096.05,-54.26609
dogwifcoin,wif,dogwifhat,0.434342,436089549,145,355418482.0,0.471324,0.428887,-0.012334523792460972,-2.7614,998926392.0,998926392.0,998926392.0,4.83,-90.9743
pancakeswap-token,cake,PancakeSwap,1.5,433721395,146,55387176.0,1.57,1.48,-0.015909721262561405,-1.05016,288603141.7251751,375649666.7908145,450000000.0,43.96,-96.58599
starknet,strk,Starknet,0.156658,433553895,147,44813733.0,0.159953,0.145426,0.00637432,4.24152,2743505868.988425,10000000000.0,10000000000.0,4.41,-96.42729
mantle-restaked-eth,cmeth,Mantle Restaked ETH,1983.9,433231742,148,16261237.0,2072.78,1966.12,-28.54602844163628,-1.41847,218228.6925672554,218228.6925672554,,4298.87,-53.89595
chain-2,xcn,Onyxcoin,0.01294132,429892007,149,117597459.0,0.01460028,0.01130553,0.00082397,6.79994,32920357012.377056,48402437326.51888,48402437326.51888,0.184139,-92.93923
apenft,nft,APENFT,4.31834e-07,428636343,150,31487364.0,4.4736e-07,4.31413e-07,-1.3779601873e-08,-3.09228,990105682877398.0,999990000000000.0,999990000000000.0,7.53e-06,-94.25077
arbitrum-bridged-weth-arbitrum-one,weth,Arbitrum Bridged WETH (Arbitrum One),1870.19,420492685,151,610037159.0,1958.77,1849.2,-26.925328714250554,-1.41928,224069.7651079215,224069.7651079215,,4097.16,-54.31258
bitcoin-avalanche-bridged-btc-b,btc.b,Avalanche Bridged BTC (Avalanche),81638.0,419419295,152,30948585.0,83544.0,79477.0,1279.54,1.5923,5115.04736596,5115.04736596,,108820.0,-24.61692
binance-peg-dogecoin,doge,Binance-Peg Dogecoin,0.161402,415470739,153,5676083.0,0.167934,0.153541,0.00162331,1.01597,2564000000.0,2564000000.0,,0.480585,-66.28364
clbtc,clbtc,clBTC,82001.0,411516415,154,19.32,83201.0,79269.0,728.13,0.8959,5000.0,5000.0,,104078.0,-21.28792
aerodrome-finance,aero,Aerodrome Finance,0.519823,410670653,155,41246923.0,0.54072,0.495401,0.00543463,1.05652,789009543.3469294,1532207926.460279,,2.32,-77.53881
usdb,usdb,USDB,1.0,408052602,156,3802761.0,1.016,0.972563,0.00689342,0.69397,406046631.5607005,406046631.5607005,,1.088,-7.61603
frax,frax,Frax,0.997978,407139246,157,20124760.0,0.998358,0.997615,-0.000203670715804405,-0.0204,407944167.3437293,407944167.3437293,,1.14,-12.48808
ousg,ousg,OUSG,110.28,405813842,158,0.0,110.28,110.26,0.012324,0.01118,3679957.707772862,3679957.707772862,,110.28,0.0
hashnote-usyc,usyc,Hashnote USYC,1.067,400818235,159,206148.0,1.085,1.052,-0.009406793080681375,-0.87362,375525781.512949,375525781.512949,,1.12,-4.42945
