id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,row_update_date
bitcoin,btc,Bitcoin,88209.0,1751803160734,1,35950850606.0,88533.0,86665.0,689.19,0.78747,19854543.0,19854543.0,21000000.0,108786.0,-18.91959,22_04_2025_06_29_34
ethereum,eth,Ethereum,1580.12,190766509388,2,13141515725.0,1650.73,1558.65,-70.60464891611309,-4.27718,120710823.9970242,120710823.9970242,,4878.26,-67.60434,22_04_2025_06_29_34
tether,usdt,Tether,0.999976,144720627483,3,54205879687.0,1.0,0.999922,5.467e-05,0.00547,144725116770.0454,144725116770.0454,,1.32,-24.42276,22_04_2025_06_29_34
ripple,xrp,XRP,2.08,121246441996,4,2041006044.0,2.14,2.07,-0.05897323181147973,-2.76299,58394167593.0,99986232255.0,100000000000.0,3.4,-38.88623,22_04_2025_06_29_34
binancecoin,bnb,BNB,600.92,87703675281,5,539040485.0,607.06,595.29,-6.139237460622098,-1.01131,145887575.79,145887575.79,200000000.0,788.84,-23.75002,22_04_2025_06_29_34
solana,sol,Solana,139.13,71952719415,6,4390888830.0,141.03,134.72,-1.845122640666915,-1.30885,517192264.1122961,599024798.8003006,,293.31,-52.5345,22_04_2025_06_29_34
usd-coin,usdc,USDC,0.999962,60900530578,7,9806945360.0,1.0,0.999886,6.564e-05,0.00656,60905179051.06486,60913045326.99726,,1.17,-14.72923,22_04_2025_06_29_34
dogecoin,doge,Dogecoin,0.161307,24018612800,8,919143638.0,0.162407,0.156809,-0.000709441099378177,-0.43788,148947026383.7052,148954286383.7052,,0.731578,-77.96103,22_04_2025_06_29_34
tron,trx,TRON,0.247056,23443249757,9,673764630.0,0.247047,0.241325,0.00286743,1.17427,94947480683.86852,94947508300.08022,,0.431288,-42.74901,22_04_2025_06_29_34
cardano,ada,Cardano,0.625079,22527204694,10,551865308.0,0.648002,0.61919,-0.021518162255025675,-3.32791,36018312569.13895,45000000000.0,45000000000.0,3.09,-79.72618,22_04_2025_06_29_34
staked-ether,steth,Lido Staked Ether,1579.42,14636548397,11,25754208.0,1649.04,1556.4,-68.6886174591848,-4.16774,9267810.534965098,9267810.534965098,,4829.57,-67.29237,22_04_2025_06_29_34
wrapped-bitcoin,wbtc,Wrapped Bitcoin,88180.0,11360339226,12,211684519.0,88469.0,86622.0,709.5,0.81114,128814.95633878,128814.95633878,128814.95633878,108368.0,-18.65101,22_04_2025_06_29_34
leo-token,leo,LEO Token,9.18,8482138411,13,3960604.0,9.49,9.01,-0.22994924209330492,-2.44296,923640094.9,985239504.0,,10.14,-9.38435,22_04_2025_06_29_34
chainlink,link,Chainlink,13.1,8360039080,14,318994285.0,13.67,12.98,-0.4956649606888899,-3.64579,638099971.4505637,1000000000.0,1000000000.0,52.7,-75.12497,22_04_2025_06_29_34
avalanche-2,avax,Avalanche,19.82,8254065800,15,335595143.0,20.88,19.58,-0.6285710983717756,-3.07457,416056348.7448242,452725813.1578965,720000000.0,144.96,-86.3079,22_04_2025_06_29_34
stellar,xlm,Stellar,0.245506,7572810738,16,198396003.0,0.260939,0.245496,-0.010791335999821294,-4.21047,30844151515.17838,50001786892.81785,50001786892.81785,0.875563,-71.95514,22_04_2025_06_29_34
the-open-network,ton,Toncoin,2.93,7352363005,17,150434355.0,3.05,2.88,-0.1123882657941806,-3.69792,2510155844.741011,5127837199.203668,,8.25,-64.51194,22_04_2025_06_29_34
sui,sui,Sui,2.24,7293237593,18,879112636.0,2.28,2.16,-0.002262809232710605,-0.10082,3249982900.458887,10000000000.0,10000000000.0,5.35,-58.00518,22_04_2025_06_29_34
shiba-inu,shib,Shiba Inu,1.236e-05,7281822106,19,128950401.0,1.276e-05,1.226e-05,-4.0733443185e-07,-3.19144,589250376975461.4,589504483634202.6,,8.616e-05,-85.64504,22_04_2025_06_29_34
hedera-hashgraph,hbar,Hedera,0.171817,7256223311,20,161441222.0,0.173765,0.167264,-0.000488733123338719,-0.28364,42228651562.04272,50000000000.0,50000000000.0,0.569229,-69.80778,22_04_2025_06_29_34
usds,usds,USDS,0.999883,7238368772,21,8658149.0,1.0,0.999665,0.00017873,0.01788,7240179892.786856,7240179892.786856,,1.057,-5.43104,22_04_2025_06_29_34
bitcoin-cash,bch,Bitcoin Cash,346.18,6880815253,22,165420164.0,347.55,336.78,7.85,2.32155,19859459.27165078,19859503.02165078,21000000.0,3785.82,-90.84183,22_04_2025_06_29_34
wrapped-steth,wsteth,Wrapped stETH,1895.92,6760075969,23,15731664.0,1982.1,1869.97,-85.42315756094195,-4.31138,3565156.79572796,3565156.79572796,,7256.02,-73.86789,22_04_2025_06_29_34
hyperliquid,hype,Hyperliquid,18.2,6074585944,24,126945185.0,18.67,17.39,-0.07956574902534186,-0.43531,333928180.0,999990391.0,1000000000.0,34.96,-47.96438,22_04_2025_06_29_34
litecoin,ltc,Litecoin,78.64,5961733997,25,370376293.0,81.21,77.55,-0.5373314949393659,-0.67861,75770720.73347135,75772933.23347135,84000000.0,410.26,-80.8084,22_04_2025_06_29_34
polkadot,dot,Polkadot,3.72,5674848814,26,135383044.0,3.97,3.72,-0.230317682285341,-5.82607,1522267060.0,1522267060.0,,54.98,-93.20993,22_04_2025_06_29_34
binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.001,5187393964,27,175920120.0,1.003,0.996467,0.0012345,0.12346,5184994200.618545,5184994200.618545,,1.05,-4.68297,22_04_2025_06_29_34
bitget-token,bgb,Bitget Token,4.43,5179583097,28,173869849.0,4.53,4.42,-0.10047919744060696,-2.21975,1169993089.2,1169993089.2,2000000000.0,8.45,-47.58743,22_04_2025_06_29_34
ethena-usde,usde,Ethena USDe,0.998855,4819422918,29,40621718.0,1.001,0.998122,-0.000513670438203384,-0.0514,4822493699.543639,4822493699.543639,,1.032,-3.17822,22_04_2025_06_29_34
weth,weth,WETH,1580.54,4388651186,30,174605773.0,1653.35,1563.2,-72.7682764982219,-4.40138,2776681.475566243,2776681.475566243,,4799.89,-67.07355,22_04_2025_06_29_34
pi-network,pi,Pi Network,0.630471,4370956961,31,80510680.0,0.639664,0.625008,-0.005624431665050444,-0.88421,6934837081.038498,10668328063.66727,100000000000.0,2.99,-78.8177,22_04_2025_06_29_34
whitebit,wbt,WhiteBIT Coin,28.25,4071402074,32,19499558.0,28.39,28.09,0.04119427,0.14603,144118517.10815412,327258822.0,400000000.0,31.28,-9.6724,22_04_2025_06_29_34
monero,xmr,Monero,215.69,3979711251,33,67821017.0,216.78,213.16,-1.0544410028010134,-0.4865,18446744.07370955,18446744.07370955,,542.33,-60.25344,22_04_2025_06_29_34
coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,88221.0,3474082760,34,241521999.0,88598.0,86652.0,694.45,0.79342,39383.19124162,39383.19124162,,108953.0,-19.05455,22_04_2025_06_29_34
wrapped-eeth,weeth,Wrapped eETH,1683.66,3466578999,35,22987181.0,1760.57,1658.4,-76.90854140344595,-4.36838,2058945.467844743,2058945.467844743,,4311.81,-60.9521,22_04_2025_06_29_34
pepe,pepe,Pepe,7.92e-06,3332520793,36,666442015.0,8.05e-06,7.69e-06,1.1478e-08,0.14522,420690000000000.0,420690000000000.0,420690000000000.0,2.803e-05,-71.73934,22_04_2025_06_29_34
dai,dai,Dai,0.99987,3214019085,37,128411102.0,1.001,0.999613,-9.9117453161823e-05,-0.00991,3214442258.359073,3214442258.359073,,1.22,-17.97391,22_04_2025_06_29_34
uniswap,uni,Uniswap,5.24,3148506606,38,106350336.0,5.48,5.22,-0.2369407211619965,-4.3249,600483073.71,1000000000.0,1000000000.0,44.92,-88.32373,22_04_2025_06_29_34
okb,okb,OKB,50.88,3051844957,39,6306837.0,51.35,50.72,-0.20442905877859374,-0.40021,60000000.0,235957685.3,300000000.0,73.8,-31.08945,22_04_2025_06_29_34
aptos,apt,Aptos,4.8,2967093513,40,126916291.0,5.24,4.8,-0.36869867656000466,-7.13251,618389810.936453,1149101459.211202,,19.92,-75.90931,22_04_2025_06_29_34
gatechain-token,gt,Gate,23.13,2842394704,41,6105530.0,23.15,22.86,0.00963791,0.04169,122910587.76765741,300000000.0,,25.94,-10.81817,22_04_2025_06_29_34
bittensor,tao,Bittensor,317.44,2742365937,42,208820226.0,329.4,303.43,-11.95779631192147,-3.6302,8637624.0,21000000.0,21000000.0,757.6,-58.11564,22_04_2025_06_29_34
ondo-finance,ondo,Ondo,0.849753,2684680000,43,119437862.0,0.89093,0.844395,-0.03011770535003211,-3.42297,3159107529.0,10000000000.0,10000000000.0,2.14,-60.25861,22_04_2025_06_29_34
near,near,NEAR Protocol,2.17,2624207635,44,151630419.0,2.33,2.16,-0.13320753381818218,-5.776,1207329342.0,1246367034.0,,20.44,-89.35683,22_04_2025_06_29_34
tokenize-xchange,tkx,Tokenize Xchange,32.2,2577277693,45,20451912.0,32.83,32.2,-0.4078374312395141,-1.25081,79995999.05112354,100000000.0,100000000.0,50.43,-36.02129,22_04_2025_06_29_34
susds,susds,sUSDS,1.047,2531210555,46,912079.0,1.052,1.047,-0.000879151392886079,-0.08387,2416583357.52315,2416583357.52315,,1.088,-3.65256,22_04_2025_06_29_34
internet-computer,icp,Internet Computer,4.66,2480719311,47,53268971.0,5.01,4.66,-0.3268976808152386,-6.55544,532467427.2001914,532467427.2001914,,700.65,-99.3333,22_04_2025_06_29_34
blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2452197105,48,0.0,1.0,1.0,0.0,0.0,2452197104.93,2452197104.93,,1.0,0.0,22_04_2025_06_29_34
ethereum-classic,etc,Ethereum Classic,15.44,2344471275,49,56393167.0,16.28,15.44,-0.8399665021756508,-5.15853,151618881.8695595,151618881.8695595,210700000.0,167.09,-90.7396,22_04_2025_06_29_34
kaspa,kas,Kaspa,0.089274,2318977599,50,117441601.0,0.090166,0.081448,0.00710228,8.64321,26001498646.9843,26057939715.75257,28704026601.0,0.207411,-56.99157,22_04_2025_06_29_34
crypto-com-chain,cro,Cronos,0.081869,2250132229,51,20205591.0,0.084302,0.081311,-0.002385617970902573,-2.83144,27477910655.70555,97477910655.70555,,0.965407,-91.51228,22_04_2025_06_29_34
render-token,render,Render,4.34,2245887490,52,247194959.0,4.52,4.23,-0.16754787052254638,-3.71934,517716590.0562826,532476763.3362826,,13.53,-67.92101,22_04_2025_06_29_34
mantle,mnt,Mantle,0.659362,2218538135,53,181087623.0,0.670698,0.657834,-0.009515011886520708,-1.42254,3364694382.83684,6219316794.99,6219316794.99,1.54,-57.15775,22_04_2025_06_29_34
