id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,row_update_date
bitcoin,btc,Bitcoin,84513.0,1676326934916,1,32555703840.0,85140.0,79948.0,3560.39,4.39812,19836825.0,19836825.0,21000000.0,108786.0,-22.10032,14_03_2025_16_10_32
ethereum,eth,Ethereum,1915.79,231028479071,2,14962365052.0,1941.99,1825.63,43.62,2.33012,120614183.5975569,120614183.5975569,,4878.26,-60.61646,14_03_2025_16_10_32
tether,usdt,Tether,0.999942,143340628408,3,27765372206.0,0.999974,0.999454,0.00017471,0.01748,143346765715.551,143346765715.551,,1.32,-24.42161,14_03_2025_16_10_32
ripple,xrp,XRP,2.35,136823176387,4,4963821686.0,2.39,2.22,0.058079,2.52949,58108919817.0,99986343905.0,100000000000.0,3.4,-30.40625,14_03_2025_16_10_32
binancecoin,bnb,BNB,583.6,85126660905,5,893045358.0,590.97,572.52,2.48,0.42735,145887575.79,145887575.79,200000000.0,788.84,-25.89284,14_03_2025_16_10_32
solana,sol,Solana,131.55,67098331623,6,3422610557.0,133.55,121.11,7.66,6.18115,509556276.8264119,596189214.1990603,,293.31,-54.91358,14_03_2025_16_10_32
usd-coin,usdc,USDC,0.999886,58212154479,7,6824399012.0,0.999907,0.999778,3.745e-05,0.00375,58218752356.22876,58296344340.37754,,1.17,-14.73722,14_03_2025_16_10_32
cardano,ada,Cardano,0.738157,26552816847,8,1108492436.0,0.748387,0.692569,0.03123077,4.41783,35957314844.72886,45000000000.0,45000000000.0,3.09,-76.02984,14_03_2025_16_10_32
dogecoin,doge,Dogecoin,0.172734,25649371817,9,1156596710.0,0.175457,0.162162,0.00682423,4.11322,148413946383.7052,148426276383.7052,,0.731578,-76.29209,14_03_2025_16_10_32
tron,trx,TRON,0.221928,21079830631,10,690147501.0,0.226245,0.220757,-0.003695671953477087,-1.63798,95028017312.12303,95028180121.63966,,0.431288,-48.43389,14_03_2025_16_10_32
staked-ether,steth,Lido Staked Ether,1913.13,17870373397,11,30651893.0,1936.73,1826.47,46.15,2.47217,9339209.434871126,9339209.434871126,,4829.57,-60.25534,14_03_2025_16_10_32
wrapped-bitcoin,wbtc,Wrapped Bitcoin,84406.0,10885797283,12,248234751.0,85076.0,79779.0,3594.28,4.44771,129015.05657878,129015.05657878,129015.05657878,108368.0,-21.98957,14_03_2025_16_10_32
pi-network,pi,Pi Network,1.53,10792723186,13,644845780.0,1.72,1.47,-0.10658507995602617,-6.52086,7071642142.047408,10879449449.3037,100000000000.0,2.99,-48.95743,14_03_2025_16_10_32
chainlink,link,Chainlink,14.33,9161154623,14,1056201695.0,14.61,12.73,1.34,10.32927,638099970.4505637,1000000000.0,1000000000.0,52.7,-72.72216,14_03_2025_16_10_32
leo-token,leo,LEO Token,9.74,9005194953,15,3918228.0,9.82,9.65,0.0204884,0.21069,923939236.9,985239504.0,,10.14,-3.62137,14_03_2025_16_10_32
stellar,xlm,Stellar,0.277447,8529675697,16,321891568.0,0.283735,0.267213,-0.000668978341757998,-0.24054,30732888289.5349,50001786894.44301,50001786894.44301,0.875563,-68.07823,14_03_2025_16_10_32
usds,usds,USDS,1.0,8250312526,19,19744861.0,1.002,0.998312,-0.000289075241020065,-0.02889,8246880113.19662,8246880113.19662,,1.057,-5.38727,14_03_2025_16_10_32
hedera-hashgraph,hbar,Hedera,0.194926,8235092756,17,347737843.0,0.198565,0.184449,0.00444665,2.33445,42217580820.66131,50000000000.0,50000000000.0,0.569229,-65.49069,14_03_2025_16_10_32
wrapped-steth,wsteth,Wrapped stETH,2296.22,8210404846,18,16597377.0,2321.79,2184.19,57.3,2.55919,3570053.605875933,3570053.605875933,,7256.02,-68.24946,14_03_2025_16_10_32
avalanche-2,avax,Avalanche,18.91,7837683490,20,296685197.0,19.27,17.82,0.552212,3.00752,414360392.7496939,451029822.2723971,720000000.0,144.96,-86.88622,14_03_2025_16_10_32
shiba-inu,shib,Shiba Inu,1.266e-05,7457749164,21,204540909.0,1.282e-05,1.182e-05,6.67812e-07,5.5706,589252986448602.9,589506900916172.9,,8.616e-05,-85.2683,14_03_2025_16_10_32
sui,sui,Sui,2.34,7424461820,22,882467264.0,2.38,2.12,0.12457,5.63449,3169845047.483887,10000000000.0,10000000000.0,5.35,-56.01802,14_03_2025_16_10_32
the-open-network,ton,Toncoin,2.85,7085729195,23,164223967.0,2.88,2.7,0.106804,3.8955,2481229426.798434,5124608207.701428,,8.25,-65.33894,14_03_2025_16_10_32
litecoin,ltc,Litecoin,91.06,6884917387,24,446354374.0,92.79,86.32,2.7,3.05368,75632964.48347135,75633201.98347135,84000000.0,410.26,-77.72251,14_03_2025_16_10_32
bitcoin-cash,bch,Bitcoin Cash,329.85,6543480791,25,182545900.0,334.57,324.86,-0.5599791921667929,-0.16948,19842031.14665078,19842031.14665078,21000000.0,3785.82,-91.26393,14_03_2025_16_10_32
polkadot,dot,Polkadot,4.18,6355688668,26,227965799.0,4.2,3.84,0.225778,5.71643,1522267060.0,1522267060.0,,54.98,-92.41063,14_03_2025_16_10_32
mantra-dao,om,MANTRA,6.24,6138030863,27,75915936.0,6.41,6.17,-0.1712454844619833,-2.67122,983646310.0800002,1811803498.5,,8.99,-30.49944,14_03_2025_16_10_32
ethena-usde,usde,Ethena USDe,0.999801,5459455209,28,64011004.0,1.0,0.998594,0.00028546,0.02856,5460539621.94763,5460539621.94763,,1.032,-3.13618,14_03_2025_16_10_32
