id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,row_update_date
bitcoin,btc,Bitcoin,79816.0,1583267609167,1,81774763727.0,80818.0,74604.0,2948.03,3.83519,19848262.0,19848262.0,21000000.0,108786.0,-26.70433,08_04_2025_05_59_59
ethereum,eth,Ethereum,1589.2,191683408933,2,45207691352.0,1608.86,1431.73,50.06,3.25266,120676170.2034555,120676170.2034555,,4878.26,-67.47108,08_04_2025_05_59_59
tether,usdt,Tether,0.999616,144136930154,3,127821991523.0,0.999682,0.998788,0.00035137,0.03516,144192090764.3775,144192090764.3775,,1.32,-24.44676,08_04_2025_05_59_59
ripple,xrp,XRP,1.89,110075153167,4,10568862076.0,1.97,1.65,0.128024,7.25971,58274974538.0,99986277500.0,100000000000.0,3.4,-44.45173,08_04_2025_05_59_59
binancecoin,bnb,BNB,563.37,82168774100,5,2112927114.0,567.92,523.38,19.63,3.60924,145887575.79,145887575.79,200000000.0,788.84,-28.6876,08_04_2025_05_59_59
usd-coin,usdc,USDC,0.9999,60148515945,6,19299709372.0,1.0,0.999803,-1.9316250967738e-05,-0.00193,60154582385.29095,60159956325.82028,,1.17,-14.73539,08_04_2025_05_59_59
solana,sol,Solana,110.55,56956105655,7,9554138156.0,111.98,96.7,8.76,8.61034,515472232.9495583,597984056.6440234,,293.31,-62.26692,08_04_2025_05_59_59
dogecoin,doge,Dogecoin,0.150804,22421208785,8,3385744536.0,0.153053,0.131762,0.00970983,6.88181,148756436383.7052,148763016383.7052,,0.731578,-79.36973,08_04_2025_05_59_59
tron,trx,TRON,0.233324,22151756805,9,1204444499.0,0.233859,0.221095,0.00774771,3.43463,94975140417.71585,94975141601.4408,,0.431288,-45.98046,08_04_2025_05_59_59
cardano,ada,Cardano,0.590989,21277717100,10,1798289973.0,0.602178,0.515683,0.04402729,8.04943,35995957636.81128,45000000000.0,45000000000.0,3.09,-80.84067,08_04_2025_05_59_59
staked-ether,steth,Lido Staked Ether,1587.74,14898623976,11,244694653.0,1606.5,1425.05,49.35,3.20814,9387742.804115105,9387767.732861312,,4829.57,-67.16239,08_04_2025_05_59_59
wrapped-bitcoin,wbtc,Wrapped Bitcoin,79756.0,10278050511,12,675431356.0,80577.0,74410.0,3000.22,3.9088,128915.05657878,128915.05657878,128915.05657878,108368.0,-26.39261,08_04_2025_05_59_59
leo-token,leo,LEO Token,8.97,8287053903,13,8576333.0,9.03,8.81,0.06023,0.6757,923756428.9,985239504.0,,10.14,-11.44087,08_04_2025_05_59_59
usds,usds,USDS,0.999901,7807281691,14,29356922.0,1.001,0.999148,0.00020471,0.02048,7808063541.664783,7808063541.664783,,1.057,-5.43471,08_04_2025_05_59_59
the-open-network,ton,Toncoin,3.13,7742121015,15,445821903.0,3.17,2.86,0.122971,4.08901,2473346140.247689,5126683171.457534,,8.25,-62.12692,08_04_2025_05_59_59
