id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,row_update_date
bitcoin,btc,Bitcoin,83416.0,1655326006310,1,21667599503.0,84770.0,83239.0,-1113.5090444537636,-1.31731,19839928.0,19839928.0,21000000.0,108786.0,-23.22624,21_03_2025_16_08_17
ethereum,eth,Ethereum,1947.25,234858348795,2,11117563631.0,1993.58,1938.9,-22.319799515212026,-1.13323,120631712.923467,120631712.923467,,4878.26,-60.07374,21_03_2025_16_08_17
tether,usdt,Tether,0.999475,143450455977,3,20856476316.0,0.999697,0.999314,-0.000124939320904294,-0.0125,143527578399.8948,143527578399.8948,,1.32,-24.46182,21_03_2025_16_08_17
ripple,xrp,XRP,2.37,137626470809,4,3887283393.0,2.46,2.36,-0.07605995617140637,-3.11208,58158111605.0,99986323420.0,100000000000.0,3.4,-30.26957,21_03_2025_16_08_17
binancecoin,bnb,BNB,632.4,92278564905,5,960137313.0,637.41,617.03,9.96,1.59936,145887575.79,145887575.79,200000000.0,788.84,-19.73367,21_03_2025_16_08_17
solana,sol,Solana,125.57,64205334076,6,2376806847.0,128.9,125.48,-3.3306547734416085,-2.58389,510176606.7620477,596638375.0931548,,293.31,-57.08656,21_03_2025_16_08_17
usd-coin,usdc,USDC,0.99988,59061775658,7,8650537730.0,0.999928,0.999662,-1.1305264593919e-05,-0.00113,59070732049.07186,59110444875.11872,,1.17,-14.73673,21_03_2025_16_08_17
cardano,ada,Cardano,0.701214,25258678124,8,671118511.0,0.725823,0.701686,-0.02460902869091186,-3.3905,35972695141.4591,45000000000.0,45000000000.0,3.09,-77.2343,21_03_2025_16_08_17
dogecoin,doge,Dogecoin,0.165231,24521018616,9,844922365.0,0.171383,0.165133,-0.00457962633855391,-2.69689,148496536383.7052,148522206383.7052,,0.731578,-77.39425,21_03_2025_16_08_17
tron,trx,TRON,0.235945,22415848876,10,721888723.0,0.236743,0.230298,0.00506726,2.19478,95010799427.76659,95010818567.67943,,0.431288,-45.21638,21_03_2025_16_08_17
staked-ether,steth,Lido Staked Ether,1946.71,18164569730,11,9028212.0,1991.7,1938.3,-20.827588536493977,-1.05856,9331717.813312195,9331717.813312195,,4829.57,-59.68353,21_03_2025_16_08_17
wrapped-bitcoin,wbtc,Wrapped Bitcoin,83385.0,10755502042,12,190027524.0,84591.0,83071.0,-1045.5879037989944,-1.23841,128915.05657878,128915.05657878,128915.05657878,108368.0,-22.99404,21_03_2025_16_08_17
leo-token,leo,LEO Token,9.74,9018553575,13,3184963.0,9.82,9.72,-0.06348043269022874,-0.64758,923894810.9,985239504.0,,10.14,-3.66905,21_03_2025_16_08_17
chainlink,link,Chainlink,13.85,8834397573,14,292033186.0,14.36,13.85,-0.485497995411027,-3.38737,638099971.4505637,1000000000.0,1000000000.0,52.7,-73.683,21_03_2025_16_08_17
the-open-network,ton,Toncoin,3.54,8773358991,15,225513689.0,3.79,3.52,-0.1805299789768786,-4.85684,2481820761.168503,5125205421.293445,,8.25,-57.16739,21_03_2025_16_08_17
stellar,xlm,Stellar,0.275163,8476788494,16,210938591.0,0.286974,0.274565,-0.006663618693480255,-2.36444,30757938244.25068,50001786892.81798,50001786892.81798,0.875563,-68.43882,21_03_2025_16_08_17
wrapped-steth,wsteth,Wrapped stETH,2331.35,8397401859,17,21295886.0,2384.86,2319.45,-22.786920998908045,-0.96795,3602271.227894269,3602271.227894269,,7256.02,-68.03481,21_03_2025_16_08_17
usds,usds,USDS,1.0,7959509526,18,10947243.0,1.001,0.999129,0.00044219,0.04423,7959707823.027781,7959707823.027781,,1.057,-5.46674,21_03_2025_16_08_17
hedera-hashgraph,hbar,Hedera,0.182446,7711639130,19,169696245.0,0.191178,0.182354,-0.007893169289393265,-4.14689,42219399510.26202,50000000000.0,50000000000.0,0.569229,-67.87725,21_03_2025_16_08_17
avalanche-2,avax,Avalanche,18.44,7646213045,20,183181707.0,19.09,18.38,-0.3426916599311127,-1.82471,414470316.0797151,451139816.0797151,720000000.0,144.96,-87.26358,21_03_2025_16_08_17
shiba-inu,shib,Shiba Inu,1.248e-05,7360462719,22,140322911.0,1.305e-05,1.248e-05,-2.93345347267e-07,-2.29577,589252929351196.9,589506853061718.5,,8.616e-05,-85.48995,21_03_2025_16_08_17
pi-network,pi,Pi Network,1.08,7352634443,21,827352321.0,1.12,0.866276,-0.04130065615797274,-3.68243,6793163688.088625,10451021058.59788,100000000000.0,2.99,-63.38823,21_03_2025_16_08_17
sui,sui,Sui,2.25,7117623434,23,614750882.0,2.41,2.24,-0.1513139270990207,-6.31286,3169845047.483887,10000000000.0,10000000000.0,5.35,-57.98799,21_03_2025_16_08_17
litecoin,ltc,Litecoin,93.12,7044842935,24,402017378.0,93.63,90.25,1.5,1.63506,75658314.48347135,75658545.73347135,84000000.0,410.26,-77.26784,21_03_2025_16_08_17
