id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,row_update_date
bitcoin,btc,Bitcoin,94894.0,1880165394422,1,19318974577.0,95207.0,93728.0,250.59,0.26477,19809193.0,21000000.0,21000000.0,108135.0,-12.15431,12_01_2025_16_47_55
ethereum,eth,Ethereum,3276.67,394893162787,2,10679652634.0,3317.1,3228.9,1.043,0.03186,120490689.4286956,120490689.4286956,,4878.26,-32.75242,12_01_2025_16_47_55
ripple,xrp,XRP,2.53,145666593084,3,7599595953.0,2.59,2.43,0.102774,4.22923,57493120449.0,99986673391.0,100000000000.0,3.4,-25.3158,12_01_2025_16_47_55
tether,usdt,Tether,0.999532,137386904867,4,39792014167.0,0.999666,0.999333,-7.8255272212613e-05,-0.00783,137451354879.7014,137451354879.7014,,1.32,-24.4544,12_01_2025_16_47_55
binancecoin,bnb,BNB,694.55,101353833724,5,339614183.0,701.36,689.86,-1.1848704479784828,-0.17031,145887575.79,145887575.79,200000000.0,788.84,-11.84922,12_01_2025_16_47_55
solana,sol,Solana,190.22,92157828803,6,1978680613.0,191.53,185.32,2.97,1.58726,484206441.1825962,591996541.0937332,,263.21,-27.70474,12_01_2025_16_47_55
dogecoin,doge,Dogecoin,0.339508,50099857626,7,1691528975.0,0.347795,0.334102,0.00351167,1.04515,147552746383.7052,147594806383.7052,,0.731578,-53.57537,12_01_2025_16_47_55
usd-coin,usdc,USDC,0.999901,45738300844,8,1591170483.0,1.0,0.999686,-9.8108840891342e-05,-0.00981,45742827814.29932,45742207632.33423,,1.17,-14.73558,12_01_2025_16_47_55
cardano,ada,Cardano,0.99227,35591749844,9,1418778025.0,1.033,0.939794,0.04806542,5.09057,35862569759.2298,45000000000.0,45000000000.0,3.09,-67.81717,12_01_2025_16_47_55
staked-ether,steth,Lido Staked Ether,3275.0,31465248510,10,25801800.0,3314.19,3225.0,2.13,0.06508,9606170.282015229,9606626.265500054,,4829.57,-32.17722,12_01_2025_16_47_55
tron,trx,TRON,0.237167,20457517316,11,489094051.0,0.243306,0.236019,-0.004769997907720286,-1.97159,86174675930.67273,86174691575.97357,,0.431288,-44.9451,12_01_2025_16_47_55
avalanche-2,avax,Avalanche,37.22,15298432741,12,223251237.0,37.68,36.35,0.681811,1.86605,410792431.9989939,449128762.6023844,720000000.0,144.96,-74.30839,12_01_2025_16_47_55
sui,sui,Sui,4.81,14483743474,13,896098914.0,5.06,4.79,-0.18610453297989338,-3.72361,3009569341.533888,10000000000.0,10000000000.0,5.35,-9.98508,12_01_2025_16_47_55
wrapped-steth,wsteth,Wrapped stETH,3903.49,13752039470,14,21238621.0,3941.99,3851.84,13.77,0.35403,3520156.36169345,3520156.36169345,,7256.02,-46.1598,12_01_2025_16_47_55
the-open-network,ton,Toncoin,5.39,13687119889,15,162063873.0,5.46,5.32,-0.07233530755692287,-1.32505,2540022578.619347,5119711820.607002,,8.25,-34.71225,12_01_2025_16_47_55
stellar,xlm,Stellar,0.430576,13091267880,16,546818029.0,0.45873,0.424339,0.00445693,1.04593,30398402079.99431,50001786899.90237,50001786899.90237,0.875563,-50.76168,12_01_2025_16_47_55
shiba-inu,shib,Shiba Inu,2.18e-05,12849120846,17,339792850.0,2.267e-05,2.155e-05,5.3115e-08,0.24421,589255265689599.1,589508431858929.6,,8.616e-05,-74.68806,12_01_2025_16_47_55
chainlink,link,Chainlink,20.08,12691627172,18,521399278.0,20.64,19.83,0.081182,0.40591,631099972.3083414,1000000000.0,1000000000.0,52.7,-61.8276,12_01_2025_16_47_55
wrapped-bitcoin,wbtc,Wrapped Bitcoin,94887.0,12508411263,19,155335080.0,94916.0,93596.0,519.88,0.55092,131830.43002371,131830.43002371,131830.43002371,107645.0,-11.88507,12_01_2025_16_47_55
hedera-hashgraph,hbar,Hedera,0.282405,10805646755,20,465985242.0,0.295554,0.27804,0.00273806,0.97904,38256671126.6515,50000000000.0,50000000000.0,0.569229,-50.31135,12_01_2025_16_47_55
weth,weth,WETH,3279.02,10331031325,21,422395483.0,3316.19,3232.2,6.47,0.19775,3149853.962720029,3149853.962720029,,4799.89,-31.59433,12_01_2025_16_47_55
polkadot,dot,Polkadot,6.72,10234347778,22,167538824.0,6.86,6.6,0.078763,1.18628,1522267060.0,1522267060.0,,54.98,-87.77043,12_01_2025_16_47_55
