id,symbol,name,current_price,market_cap,market_cap_rank,total_volume,high_24h,low_24h,price_change_24h,price_change_percentage_24h,circulating_supply,total_supply,max_supply,ath,ath_change_percentage,row_update_date
bitcoin,btc,Bitcoin,92318.0,1824481053444,1,57639574371.0,95904.0,89800.0,-2847.7858166251826,-2.99245,19809512.0,21000000.0,21000000.0,108135.0,-15.25941,13_01_2025_15_20_21
ethereum,eth,Ethereum,3052.81,367281780386,2,30212862022.0,3327.61,2979.39,-231.66433708010027,-7.05331,120493047.5421975,120493047.5421975,,4878.26,-37.82021,13_01_2025_15_20_21
ripple,xrp,XRP,2.46,141153096684,3,7915464039.0,2.56,2.34,-0.05765682680224238,-2.28566,57493120449.0,99986673391.0,100000000000.0,3.4,-28.421,13_01_2025_15_20_21
tether,usdt,Tether,0.999383,137358198804,4,77860846038.0,0.99959,0.998598,3.954e-05,0.00396,137449718934.4178,137449718934.4178,,1.32,-24.4747,13_01_2025_15_20_21
binancecoin,bnb,BNB,675.27,98425120455,5,993156800.0,699.77,658.69,-19.119846232086616,-2.75346,145887575.79,145887575.79,200000000.0,788.84,-14.84412,13_01_2025_15_20_21
solana,sol,Solana,177.38,85701731370,6,4973995463.0,191.66,172.6,-12.332054342361943,-6.50052,484416756.6859011,592141419.3871149,,263.21,-33.28508,13_01_2025_15_20_21
dogecoin,doge,Dogecoin,0.324188,47749010101,7,3061031690.0,0.344811,0.31414,-0.016630462495462794,-4.87957,147552746383.7052,147607576383.7052,,0.731578,-55.99169,13_01_2025_15_20_21
usd-coin,usdc,USDC,0.999971,45715908136,8,9597698027.0,1.0,0.999799,9.547e-05,0.00955,45716628958.11047,45716721090.12891,,1.17,-14.72856,13_01_2025_15_20_21
cardano,ada,Cardano,0.927912,33170444770,9,1298381212.0,0.99971,0.890968,-0.0698716154907858,-7.00268,35862569759.2298,45000000000.0,45000000000.0,3.09,-70.1691,13_01_2025_15_20_21
staked-ether,steth,Lido Staked Ether,3049.93,29229852404,10,105651979.0,3327.47,2978.17,-232.9157771446753,-7.09493,9602895.937086295,9603157.418628827,,4829.57,-37.24359,13_01_2025_15_20_21
tron,trx,TRON,0.22221,19133976768,11,1132622174.0,0.237772,0.216851,-0.015380571025161075,-6.47357,86172134499.31042,86172191576.90012,,0.431288,-48.7186,13_01_2025_15_20_21
avalanche-2,avax,Avalanche,34.49,14142557173,12,420995974.0,37.39,33.36,-2.878787203294813,-7.70346,410797941.7648145,449134241.7648145,720000000.0,144.96,-76.39869,13_01_2025_15_20_21
sui,sui,Sui,4.56,13730941806,13,2006566735.0,4.85,4.3,-0.285833767334128,-5.89857,3009569341.533888,10000000000.0,10000000000.0,5.35,-16.08656,13_01_2025_15_20_21
the-open-network,ton,Toncoin,5.2,13186950663,14,269175459.0,5.39,5.01,-0.1623999268255698,-3.03046,2540096689.232646,5119787367.837983,,8.25,-37.61506,13_01_2025_15_20_21
wrapped-steth,wsteth,Wrapped stETH,3710.71,13081376274,15,50537069.0,3954.02,3628.8,-180.58894275097418,-4.64084,3523540.449456717,3523540.449456717,,7256.02,-49.13743,13_01_2025_15_20_21
stellar,xlm,Stellar,0.412838,12481440903,16,483119824.0,0.438351,0.394477,-0.018627421300635827,-4.31724,30398396964.36115,50001786899.90237,50001786899.90237,0.875563,-53.09296,13_01_2025_15_20_21
wrapped-bitcoin,wbtc,Wrapped Bitcoin,92402.0,12167477001,17,412674182.0,95511.0,90057.0,-2468.231592570766,-2.60168,131830.43002371,131830.43002371,131830.43002371,107645.0,-14.58153,13_01_2025_15_20_21
shiba-inu,shib,Shiba Inu,2.054e-05,12072476547,18,530559730.0,2.207e-05,1.981e-05,-1.315232567101e-06,-6.01659,589255265545172.6,589508431714503.1,,8.616e-05,-76.3998,13_01_2025_15_20_21
chainlink,link,Chainlink,18.82,11861853159,19,931420821.0,20.3,18.1,-1.322383196069218,-6.56422,631099972.3083414,1000000000.0,1000000000.0,52.7,-64.56077,13_01_2025_15_20_21
hedera-hashgraph,hbar,Hedera,0.271033,10347822245,20,473807376.0,0.287602,0.259189,-0.011929080668503955,-4.21579,38256671126.66841,50000000000.0,50000000000.0,0.569229,-52.87535,13_01_2025_15_20_21
weth,weth,WETH,3067.88,9704511396,21,1190146661.0,3321.02,3024.8,-208.55688677543094,-6.36535,3160652.539449194,3160652.539449194,,4799.89,-36.42689,13_01_2025_15_20_21
polkadot,dot,Polkadot,6.3,9562003297,22,347295462.0,6.79,6.06,-0.43330169867626456,-6.43749,1522267060.0,1522267060.0,,54.98,-88.63131,13_01_2025_15_20_21
leo-token,leo,LEO Token,9.23,8565284759,23,819708.0,9.34,9.13,-0.06538605444628587,-0.70359,924342876.9,985239504.0,,9.79,-4.76749,13_01_2025_15_20_21
